플랫폼명,게시글_ID,가격,URL,모델명,제목,용량,시도,시군구,동읍면,색상,작성일
당근마켓,cfy28o5fmnyz,600000.0,https://www.daangn.com/kr/buy-sell/%EA%B0%80%EA%B2%A9-%EB%82%B4%EB%A6%BC-%EC%95%84%EC%9D%B4%ED%8F%B015-%EB%B8%94%EB%9E%99-256gb-%EC%83%81%ED%83%9C-%EC%A2%8B%EC%9D%8C-%EC%A0%95%ED%92%88%EB%B0%95%EC%8A%A4-%EB%8B%A4%EC%96%91%ED%95%9C-%EA%B5%AC%EC%84%B1%ED%92%88-%EC%9E%88%EC%9D%8C-cfy28o5fmnyz/?in=%EB%8C%80%EC%B9%98%EB%8F%99-6032,아이폰 15,"<가격 내림>아이폰15 블랙 256gb(상태 좋음, 정품박스, 다양한 구성품 있음)",256.0,서울특별시,강남구,대치동,블랙,2025-10-20
당근마켓,nehzrazqueab,600000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B015-256gb-%EA%B7%B8%EB%A6%B0-%EB%B0%B0%ED%84%B0%EB%A6%AC-89-nehzrazqueab/?in=%EC%84%9C%EC%B4%88%EB%8F%99-6128,아이폰 15,아이폰15 256GB 그린 배터리 89%,256.0,서울특별시,서초구,서초동,그린,2025-10-20
당근마켓,n81e4yhhd3as,510000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B0-15-%EC%98%90%EB%A1%9C%EC%9A%B0-128gb-n81e4yhhd3as/?in=%EC%B2%9C%ED%98%B8%EB%8F%99-6044,아이폰 15,아이폰 15 옐로우 128GB,128.0,서울특별시,강동구,천호동,옐로우,2025-10-20
당근마켓,gsc3rrfejbgz,500000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B0-15-%ED%95%91%ED%81%AC-%EC%95%A1%EC%A0%95-%ED%8C%8C%EC%86%90-%EB%B0%B0%ED%84%B0%EB%A6%AC%ED%9A%A8%EC%9C%A8-100-256g-gsc3rrfejbgz/?in=%ED%99%94%EC%96%91%EB%8F%99-72,아이폰 15,아이폰 15 핑크 액정 파손 배터리효율 100% 256G,256.0,서울특별시,광진구,화양동,핑크,2025-10-20
당근마켓,yuec9n1j2inz,500000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B0-15-%EB%B8%94%EB%A3%A8-256-a%EA%B8%89-yuec9n1j2inz/?in=%EC%84%9C%EA%B5%90%EB%8F%99-230,아이폰 15,아이폰 15 블루 256 A급,256.0,서울특별시,마포구,서교동,블루,2025-10-20
당근마켓,zroqoss67cd9,550000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B0-15-%EB%B8%94%EB%9E%99-256%EA%B8%B0%EA%B0%80-zroqoss67cd9/?in=%EA%B0%80%EC%82%B0%EB%8F%99-295,아이폰 15,아이폰 15 블랙 256기가,256.0,서울특별시,금천구,가산동,블랙,2025-10-20
당근마켓,31adhxbja3g3,500000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B0-15-128g-%ED%92%80%EB%B0%95-%ED%8C%90%EB%A7%A4-31adhxbja3g3/?in=%EB%8F%85%EC%82%B0%EB%8F%99-6070,아이폰 15,"아이폰 15, 128G 풀박 판매",128.0,서울특별시,금천구,독산동,,2025-10-20
당근마켓,oy5ud1hyct8v,490000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B015-%EB%B8%94%EB%A3%A8-128gb-oy5ud1hyct8v/?in=%ED%99%94%EA%B3%A1%EB%8F%99-6057,아이폰 15,아이폰15 블루 128gb,128.0,서울특별시,강서구,화곡동,블루,2025-10-20
당근마켓,9s46ft95ashv,450000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B0-15-%ED%95%91%ED%81%AC-128gb-9s46ft95ashv/?in=%EB%B0%A9%ED%99%94%EB%8F%99-6053,아이폰 15,아이폰 15 핑크 128GB,128.0,서울특별시,강서구,방화동,핑크,2025-10-20
당근마켓,ynpzss91pm3n,500000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B0-15-128%EA%B8%B0%EA%B0%80-%ED%8C%9D%EB%8B%88%EB%8B%A4-ynpzss91pm3n/?in=%EC%B0%BD%EB%8F%99-6080,아이폰 15,아이폰 15 128기가 팝니다,128.0,서울특별시,도봉구,창동,,2025-10-20
당근마켓,f7d4h2c1favf,560000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B0-15-%ED%95%98%EB%8A%98%EC%83%89-89-f7d4h2c1favf/?in=%EC%88%98%EC%9C%A0%EB%8F%99-6046,아이폰 15,아이폰 15 하늘색 (89%),,서울특별시,강북구,수유동,블루,2025-10-20
