플랫폼명,게시글_ID,가격,URL,모델명,제목,용량,시도,시군구,동읍면,색상,작성일
당근마켓,9nnd581a4mrz,870000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B0-15%ED%94%84%EB%A1%9C-256g-%EB%B0%95%EC%8A%A4%EC%9E%88%EC%9D%8C-%EC%83%81%ED%83%9C%EC%A2%8B%EC%9D%8C-s%EA%B8%89-9nnd581a4mrz/?in=%EC%97%AD%EC%82%BC%EB%8F%99-6035,아이폰 15 프로,아이폰 15프로 256G (박스있음) 상태좋음 S급,256.0,서울특별시,강남구,역삼동,,2025-11-08
당근마켓,p65nms937n1d,800000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B0-15-pro-%EB%B8%94%EB%9E%99-%ED%8B%B0%ED%83%80%EB%8A%84-256gb-%EB%B0%B0%ED%84%B0%EB%A6%AC-87-p65nms937n1d/?in=%EC%97%AD%EC%82%BC%EB%8F%99-6035,아이폰 15 프로,아이폰 15 Pro 블랙 티타늄 256GB 배터리 87%,256.0,서울특별시,강남구,역삼동,블랙티타늄,2025-11-08
당근마켓,s37cdemqaaop,700000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B0-15-pro-128gb-%EB%B8%94%EB%9E%99-%ED%8B%B0%ED%83%80%EB%8A%84-%ED%8C%9D%EB%8B%88%EB%8B%A4-s37cdemqaaop/?in=%EC%9E%A0%EC%8B%A4%EB%8F%99-6188,아이폰 15 프로,[아이폰 15 Pro 128GB] 블랙 티타늄 팝니다 :),128.0,서울특별시,송파구,잠실동,블랙티타늄,2025-11-08
당근마켓,yb51kbp5ihck,750000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B0-15-pro-%EC%8B%A4%EB%B2%84-256-yb51kbp5ihck/?in=%EC%9E%A0%EC%8B%A4%EB%8F%99-6188,아이폰 15 프로,아이폰 15 Pro 실버 256,256.0,서울특별시,송파구,잠실동,,2025-11-08
당근마켓,qfhbum1555y6,998000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B015-%ED%94%84%EB%A1%9C-512gb-%EB%B8%94%EB%9E%99%ED%8B%B0%ED%83%80%EB%8A%84-%EB%B0%B0%ED%84%B0%EB%A6%AC-100-qfhbum1555y6/?in=%EC%B2%9C%ED%98%B8%EB%8F%99-6044,아이폰 15 프로,아이폰15 프로 512GB 블랙티타늄 | 배터리 100%,512.0,서울특별시,강동구,천호동,블랙티타늄,2025-11-08
당근마켓,9mxki5bu4ryp,930000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B015%ED%94%84%EB%A1%9C-256-%EB%B8%94%EB%9E%99-%EB%A6%AC%ED%8D%BC-%EB%AF%B8%EC%82%AC%EC%9A%A9-9mxki5bu4ryp/?in=%EC%84%9C%EA%B5%90%EB%8F%99-230,아이폰 15 프로,아이폰15프로 256 블랙 리퍼 미사용,256.0,서울특별시,마포구,서교동,블랙티타늄,2025-11-08
당근마켓,us9efarvrdf3,850000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B0-15pro-256-%ED%99%94%EC%9D%B4%ED%8A%B8-%ED%8B%B0%ED%83%80%EB%8A%84-us9efarvrdf3/?in=%EA%B0%80%EC%82%B0%EB%8F%99-295,아이폰 15 프로,아이폰 15pro 256 화이트 티타늄,256.0,서울특별시,금천구,가산동,화이트티타늄,2025-11-08
당근마켓,xhgg2umuyry3,800000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B0-15%ED%94%84%EB%A1%9C-256-%EB%B8%94%EB%A3%A8-%EC%83%89%EC%83%81-%ED%8C%90%EB%A7%A4%ED%95%A9%EB%8B%88%EB%8B%A4-xhgg2umuyry3/?in=%EA%B0%80%EC%82%B0%EB%8F%99-295,아이폰 15 프로,아이폰 15프로 256 블루 색상 판매합니다,256.0,서울특별시,금천구,가산동,블루티타늄,2025-11-08
당근마켓,rcm3zhmmsyi9,820000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B0-15-pro-128gb-%EB%B8%94%EB%A3%A8-%ED%8B%B0%ED%83%80%EB%8A%84-%EB%A6%AC%ED%8D%BC-rcm3zhmmsyi9/?in=%EB%8F%85%EC%82%B0%EB%8F%99-6070,아이폰 15 프로,아이폰 15 Pro (128GB/블루 티타늄 리퍼),128.0,서울특별시,금천구,독산동,블루티타늄,2025-11-08
당근마켓,hyxxh3kp4ruk,700000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B015p-128gb-%EB%B0%B0%ED%84%B0%EB%A6%AC89-%EC%A0%95%EC%83%81%ED%95%B4%EC%A7%80-hyxxh3kp4ruk/?in=%EA%B3%B5%EB%A6%89%EB%8F%99-6072,아이폰 15 프로,아이폰15P 128GB 배터리89% 정상해지,128.0,서울특별시,노원구,공릉동,,2025-11-08
