플랫폼,게시글_ID,가격,URL,모델명,제목,용량,시도,시군구,동읍면,색상,작성일
번개장터,360298864,620000,https://m.bunjang.co.kr/product/360298864,아이폰 14 프로,아이폰 프로14 256 S급,256GB,서울특별시,구로구,신도림동,,2025-10-24
번개장터,364817477,630000,https://m.bunjang.co.kr/product/364817477,아이폰 14 프로,아이폰 14프로 128,128GB,서울특별시,송파구,문정1동,,2025-10-24
번개장터,364745308,800000,https://m.bunjang.co.kr/product/364745308,아이폰 14 프로,아이폰 14 프로 128기가 블랙 새제품 팝니다,128GB,서울특별시,도봉구,쌍문제2동,블랙,2025-10-24
번개장터,355038411,650000,https://m.bunjang.co.kr/product/355038411,아이폰 14 프로,[A급] 아이폰14 Pro 스페이스블랙 256GB,256GB,서울특별시,송파구,오금동,블랙,2025-10-24
번개장터,364699823,570000,https://m.bunjang.co.kr/product/364699823,아이폰 14 프로,아이폰 14프로 128gb,128GB,서울특별시,은평구,불광제1동,,2025-10-24
번개장터,363902615,617500,https://m.bunjang.co.kr/product/363902615,아이폰 14 프로,S급 아이폰14프로 256 블랙(풀박스),256GB,서울특별시,종로구,사직동,블랙,2025-10-24
번개장터,364652896,1650000,https://m.bunjang.co.kr/product/364652896,아이폰 14 프로,아이폰 14 프로 128 스페이스 블랙 자급제 미개봉,128GB,서울특별시,마포구,성산제1동,블랙,2025-10-24
번개장터,364652804,1890000,https://m.bunjang.co.kr/product/364652804,아이폰 14 프로,아이폰 14 프로 256 딥퍼플 자급제 미개봉 새제품,256GB,서울특별시,마포구,성산제1동,퍼플,2025-10-24
번개장터,364652733,1890000,https://m.bunjang.co.kr/product/364652733,아이폰 14 프로,아이폰 14 프로 256 실버 미개봉 새제품,256GB,서울특별시,마포구,성산제1동,,2025-10-24
번개장터,364652565,2150000,https://m.bunjang.co.kr/product/364652565,아이폰 14 프로,아이폰 14 프로 골드 512 자급제 미개봉 새제품,512GB,서울특별시,마포구,성산제1동,,2025-10-24
